sector,region_of_residence,gender,min_age,max_age,age_group,max_tax_rate,min_income_brackets,max_income_brackets,income_bracket_range,population_size
personale difesa  sicurezza e soccorso pubblico,lombardia,0,18,24,18-24,35,oltre i 28000,fino a 50000,28000–50000,34
personale difesa  sicurezza e soccorso pubblico,lombardia,0,25,34,25-34,23,,fino a 28000,0–28000,531
personale difesa  sicurezza e soccorso pubblico,lombardia,0,25,34,25-34,35,oltre i 28000,fino a 50000,28000–50000,303
personale difesa  sicurezza e soccorso pubblico,lombardia,0,35,44,35-44,23,,fino a 28000,0–28000,305
personale difesa  sicurezza e soccorso pubblico,lombardia,0,35,44,35-44,35,oltre i 28000,fino a 50000,28000–50000,419
personale difesa  sicurezza e soccorso pubblico,lombardia,0,45,54,45-54,23,,fino a 28000,0–28000,54
personale difesa  sicurezza e soccorso pubblico,lombardia,0,45,54,45-54,35,oltre i 28000,fino a 50000,28000–50000,505
personale difesa  sicurezza e soccorso pubblico,lombardia,0,55,64,55-64,23,,fino a 28000,0–28000,55
personale difesa  sicurezza e soccorso pubblico,lombardia,0,55,64,55-64,35,oltre i 28000,fino a 50000,28000–50000,333
personale difesa  sicurezza e soccorso pubblico,lombardia,0,55,64,55-64,43,oltre i 50000,,50000+,3
personale difesa  sicurezza e soccorso pubblico,lombardia,1,65, ,65- ,23,,fino a 28000,0–28000,4
personale difesa  sicurezza e soccorso pubblico,lombardia,1,65, ,65- ,35,oltre i 28000,fino a 50000,28000–50000,5
personale difesa  sicurezza e soccorso pubblico,lombardia,1,65, ,65- ,43,oltre i 50000,,50000+,1
personale difesa  sicurezza e soccorso pubblico,lombardia,1,18,24,18-24,23,,fino a 28000,0–28000,480
personale difesa  sicurezza e soccorso pubblico,lombardia,1,18,24,18-24,35,oltre i 28000,fino a 50000,28000–50000,102
personale difesa  sicurezza e soccorso pubblico,lombardia,1,25,34,25-34,23,,fino a 28000,0–28000,2266
personale difesa  sicurezza e soccorso pubblico,lombardia,1,25,34,25-34,35,oltre i 28000,fino a 50000,28000–50000,936
