municipality,administration,min_age,max_age,age_group,gender,payment_method,salary_records
villaverla,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,23
villongo,ministero dell'istruzione e del merito,25,34,25-34,0,conto corrente/carta conto,14
villongo,ministero dell'istruzione e del merito,25,34,25-34,1,conto corrente/carta conto,6
villongo,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,29
villongo,ministero dell'istruzione e del merito,35,44,35-44,1,conto corrente/carta conto,8
villongo,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,30
villongo,ministero dell'istruzione e del merito,45,54,45-54,1,conto corrente/carta conto,6
villongo,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,37
villorba,ministero dell'istruzione e del merito,25,34,25-34,0,conto corrente/carta conto,45
villorba,ministero dell'istruzione e del merito,25,34,25-34,1,conto corrente/carta conto,23
villorba,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,100
villorba,ministero dell'istruzione e del merito,35,44,35-44,1,conto corrente/carta conto,33
villorba,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,156
villorba,ministero dell'istruzione e del merito,45,54,45-54,1,conto corrente/carta conto,54
villorba,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,159
villorba,ministero dell'istruzione e del merito,55,64,55-64,1,conto corrente/carta conto,48
villorba,ministero dell'istruzione e del merito,65, ,65- ,0,conto corrente/carta conto,9
vilminore di scalve,ministero dell'istruzione e del merito,25,34,25-34,0,conto corrente/carta conto,6
vilminore di scalve,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,9
vilminore di scalve,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,15
vilminore di scalve,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,17
vimercate,ministero dell'istruzione e del merito,18,24,18-24,0,conto corrente/carta conto,6
vimercate,ministero dell'istruzione e del merito,18,24,18-24,1,conto corrente/carta conto,8
vimercate,ministero dell'istruzione e del merito,25,34,25-34,0,conto corrente/carta conto,97
vimercate,ministero dell'istruzione e del merito,25,34,25-34,1,conto corrente/carta conto,64
vimercate,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,161
vimercate,ministero dell'istruzione e del merito,35,44,35-44,1,conto corrente/carta conto,64
vimercate,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,232
vimercate,ministero dell'istruzione e del merito,45,54,45-54,1,conto corrente/carta conto,61
vimercate,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,211
vimercate,ministero dell'istruzione e del merito,55,64,55-64,1,conto corrente/carta conto,66
vimercate,ministero dell'istruzione e del merito,65, ,65- ,0,conto corrente/carta conto,16
vimodrone,ministero dell'istruzione e del merito,25,34,25-34,0,conto corrente/carta conto,32
vimodrone,ministero dell'istruzione e del merito,25,34,25-34,1,conto corrente/carta conto,10
vimodrone,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,45
vimodrone,ministero dell'istruzione e del merito,35,44,35-44,1,conto corrente/carta conto,7
vimodrone,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,67
vimodrone,ministero dell'istruzione e del merito,45,54,45-54,1,conto corrente/carta conto,6
vimodrone,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,48
vinchiaturo,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,19
vinchiaturo,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,36
vinchiaturo,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,34
vinci,ministero dell'istruzione e del merito,25,34,25-34,0,conto corrente/carta conto,16
vinci,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,28
vinci,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,66
vinci,ministero dell'istruzione e del merito,45,54,45-54,1,conto corrente/carta conto,6
vinci,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,42
vinci,ministero dell'istruzione e del merito,55,64,55-64,1,conto corrente/carta conto,6
vinovo,ministero dell'istruzione e del merito,25,34,25-34,0,conto corrente/carta conto,34
vinovo,ministero dell'istruzione e del merito,25,34,25-34,1,conto corrente/carta conto,9
vinovo,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,40
vinovo,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,57
vinovo,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,62
vinovo,ministero dell'istruzione e del merito,65, ,65- ,0,conto corrente/carta conto,7
visciano,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,23
visciano,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,55
