municipality,administration,min_age,max_age,age_group,gender,payment_method,salary_records
abano terme,ministero dell'istruzione e del merito,25,34,25-34,0,conto corrente/carta conto,31
abano terme,ministero dell'istruzione e del merito,25,34,25-34,1,conto corrente/carta conto,18
abano terme,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,56
abano terme,ministero dell'istruzione e del merito,35,44,35-44,1,conto corrente/carta conto,18
abano terme,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,115
abano terme,ministero dell'istruzione e del merito,45,54,45-54,1,conto corrente/carta conto,18
abano terme,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,136
abano terme,ministero dell'istruzione e del merito,55,64,55-64,1,conto corrente/carta conto,36
abano terme,ministero dell'istruzione e del merito,65, ,65- ,0,conto corrente/carta conto,8
abbadia san salvatore,ministero dell'istruzione e del merito,25,34,25-34,0,conto corrente/carta conto,23
abbadia san salvatore,ministero dell'istruzione e del merito,25,34,25-34,1,conto corrente/carta conto,7
abbadia san salvatore,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,16
abbadia san salvatore,ministero dell'istruzione e del merito,35,44,35-44,1,conto corrente/carta conto,8
abbadia san salvatore,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,38
abbadia san salvatore,ministero dell'istruzione e del merito,45,54,45-54,1,conto corrente/carta conto,7
abbadia san salvatore,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,44
abbadia san salvatore,ministero dell'istruzione e del merito,55,64,55-64,1,conto corrente/carta conto,10
abbadia san salvatore,ministero dell'istruzione e del merito,65, ,65- ,0,conto corrente/carta conto,6
abbasanta,ministero dell'interno,45,54,45-54,1,conto corrente/carta conto,26
abbasanta,ministero dell'interno,55,64,55-64,0,conto corrente/carta conto,6
abbasanta,ministero dell'interno,55,64,55-64,1,conto corrente/carta conto,12
abbiategrasso,ministero dell'istruzione e del merito,18,24,18-24,0,conto corrente/carta conto,13
abbiategrasso,ministero dell'istruzione e del merito,25,34,25-34,0,conto corrente/carta conto,100
abbiategrasso,ministero dell'istruzione e del merito,25,34,25-34,1,conto corrente/carta conto,42
abbiategrasso,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,151
abbiategrasso,ministero dell'istruzione e del merito,35,44,35-44,1,conto corrente/carta conto,41
abbiategrasso,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,192
abbiategrasso,ministero dell'istruzione e del merito,45,54,45-54,1,conto corrente/carta conto,35
abbiategrasso,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,200
abbiategrasso,ministero dell'istruzione e del merito,55,64,55-64,1,conto corrente/carta conto,26
abbiategrasso,ministero dell'istruzione e del merito,65, ,65- ,0,conto corrente/carta conto,15
acate,ministero dell'istruzione e del merito,25,34,25-34,0,conto corrente/carta conto,8
acate,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,12
acate,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,36
acate,ministero dell'istruzione e del merito,45,54,45-54,1,conto corrente/carta conto,9
acate,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,52
acate,ministero dell'istruzione e del merito,55,64,55-64,1,conto corrente/carta conto,12
acate,ministero dell'istruzione e del merito,65, ,65- ,0,conto corrente/carta conto,6
accadia,ministero dell'istruzione e del merito,25,34,25-34,0,conto corrente/carta conto,10
accadia,ministero dell'istruzione e del merito,25,34,25-34,1,conto corrente/carta conto,6
accadia,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,22
accadia,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,24
accadia,ministero dell'istruzione e del merito,45,54,45-54,1,conto corrente/carta conto,8
accadia,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,34
accadia,ministero dell'istruzione e del merito,55,64,55-64,1,conto corrente/carta conto,12
acerra,ministero dell'istruzione e del merito,25,34,25-34,0,conto corrente/carta conto,68
acerra,ministero dell'istruzione e del merito,25,34,25-34,1,conto corrente/carta conto,22
acerra,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,219
acerra,ministero dell'istruzione e del merito,35,44,35-44,1,conto corrente/carta conto,63
acerra,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,377
acerra,ministero dell'istruzione e del merito,45,54,45-54,0,libretto postale,6
acerra,ministero dell'istruzione e del merito,45,54,45-54,1,conto corrente/carta conto,80
acerra,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,415
acerra,ministero dell'istruzione e del merito,55,64,55-64,1,conto corrente/carta conto,107
acerra,ministero dell'istruzione e del merito,65, ,65- ,0,conto corrente/carta conto,52
acerra,ministero dell'istruzione e del merito,65, ,65- ,1,conto corrente/carta conto,19
aci castello,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,17
aci castello,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,52
aci castello,ministero dell'istruzione e del merito,45,54,45-54,1,conto corrente/carta conto,8
aci castello,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,66
aci castello,ministero dell'istruzione e del merito,55,64,55-64,1,conto corrente/carta conto,10
aci castello,ministero dell'istruzione e del merito,65, ,65- ,0,conto corrente/carta conto,6
aci catena,ministero dell'istruzione e del merito,25,34,25-34,0,conto corrente/carta conto,12
aci catena,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,39
aci catena,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,107
aci catena,ministero dell'istruzione e del merito,45,54,45-54,1,conto corrente/carta conto,7
aci catena,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,144
aci catena,ministero dell'istruzione e del merito,55,64,55-64,1,conto corrente/carta conto,15
aci catena,ministero dell'istruzione e del merito,65, ,65- ,0,conto corrente/carta conto,34
aci sant'antonio,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,26
aci sant'antonio,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,67
aci sant'antonio,ministero dell'istruzione e del merito,45,54,45-54,1,conto corrente/carta conto,7
aci sant'antonio,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,109
aci sant'antonio,ministero dell'istruzione e del merito,55,64,55-64,1,conto corrente/carta conto,6
aci sant'antonio,ministero dell'istruzione e del merito,65, ,65- ,0,conto corrente/carta conto,11
acireale,consiglio per ric. in agricoltura e analisi economia agraria,45,54,45-54,0,conto corrente/carta conto,8
acireale,consiglio per ric. in agricoltura e analisi economia agraria,55,64,55-64,0,conto corrente/carta conto,9
acireale,consiglio per ric. in agricoltura e analisi economia agraria,55,64,55-64,1,conto corrente/carta conto,15
acireale,ministero dell'istruzione e del merito,25,34,25-34,0,conto corrente/carta conto,32
acireale,ministero dell'istruzione e del merito,25,34,25-34,1,conto corrente/carta conto,11
acireale,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,167
acireale,ministero dell'istruzione e del merito,35,44,35-44,1,conto corrente/carta conto,43
acireale,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,406
acireale,ministero dell'istruzione e del merito,45,54,45-54,1,conto corrente/carta conto,102
acireale,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,524
acireale,ministero dell'istruzione e del merito,55,64,55-64,0,libretto postale,11
acireale,ministero dell'istruzione e del merito,55,64,55-64,1,conto corrente/carta conto,160
acireale,ministero dell'istruzione e del merito,65, ,65- ,0,conto corrente/carta conto,74
acireale,ministero dell'istruzione e del merito,65, ,65- ,1,conto corrente/carta conto,36
acireale,ministero della giustizia,35,44,35-44,1,conto corrente/carta conto,10
acireale,ministero della giustizia,45,54,45-54,1,conto corrente/carta conto,10
acireale,ministero della giustizia,55,64,55-64,1,conto corrente/carta conto,8
acqualagna,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,12
acqualagna,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,14
acqualagna,ministero dell'istruzione e del merito,45,54,45-54,1,conto corrente/carta conto,7
acqualagna,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,22
acquapendente,azienda sanitaria locale viterbo,35,44,35-44,1,conto corrente/carta conto,6
acquapendente,azienda sanitaria locale viterbo,45,54,45-54,0,conto corrente/carta conto,16
acquapendente,azienda sanitaria locale viterbo,45,54,45-54,1,conto corrente/carta conto,8
acquapendente,azienda sanitaria locale viterbo,55,64,55-64,0,conto corrente/carta conto,19
acquapendente,azienda sanitaria locale viterbo,55,64,55-64,1,conto corrente/carta conto,14
acquapendente,ministero dell'istruzione e del merito,25,34,25-34,0,conto corrente/carta conto,8
acquapendente,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,18
acquapendente,ministero dell'istruzione e del merito,35,44,35-44,1,conto corrente/carta conto,6
acquapendente,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,40
acquapendente,ministero dell'istruzione e del merito,45,54,45-54,1,conto corrente/carta conto,10
acquapendente,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,67
acquapendente,ministero dell'istruzione e del merito,55,64,55-64,1,conto corrente/carta conto,9
acquaro,ministero dell'istruzione e del merito,25,34,25-34,0,conto corrente/carta conto,8
acquaro,ministero dell'istruzione e del merito,25,34,25-34,1,conto corrente/carta conto,9
acquaro,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,25
acquaro,ministero dell'istruzione e del merito,35,44,35-44,1,conto corrente/carta conto,9
acquaro,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,49
acquaro,ministero dell'istruzione e del merito,45,54,45-54,1,conto corrente/carta conto,8
acquaro,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,64
acquaro,ministero dell'istruzione e del merito,55,64,55-64,1,conto corrente/carta conto,18
acquaro,ministero dell'istruzione e del merito,65, ,65- ,0,conto corrente/carta conto,18
acquasparta,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,18
acquasparta,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,44
acquasparta,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,35
acquaviva delle fonti,ministero dell'istruzione e del merito,25,34,25-34,0,conto corrente/carta conto,46
acquaviva delle fonti,ministero dell'istruzione e del merito,25,34,25-34,1,conto corrente/carta conto,15
acquaviva delle fonti,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,147
acquaviva delle fonti,ministero dell'istruzione e del merito,35,44,35-44,1,conto corrente/carta conto,39
acquaviva delle fonti,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,197
acquaviva delle fonti,ministero dell'istruzione e del merito,45,54,45-54,1,conto corrente/carta conto,70
acquaviva delle fonti,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,239
acquaviva delle fonti,ministero dell'istruzione e del merito,55,64,55-64,0,libretto postale,8
acquaviva delle fonti,ministero dell'istruzione e del merito,55,64,55-64,1,conto corrente/carta conto,74
acquaviva delle fonti,ministero dell'istruzione e del merito,65, ,65- ,0,conto corrente/carta conto,26
acquaviva delle fonti,ministero dell'istruzione e del merito,65, ,65- ,1,conto corrente/carta conto,10
acquedolci,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,37
acquedolci,ministero dell'istruzione e del merito,45,54,45-54,1,conto corrente/carta conto,7
acquedolci,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,31
acquedolci,ministero dell'istruzione e del merito,55,64,55-64,1,conto corrente/carta conto,22
acqui terme,ministero dell'istruzione e del merito,25,34,25-34,0,conto corrente/carta conto,53
acqui terme,ministero dell'istruzione e del merito,25,34,25-34,1,conto corrente/carta conto,33
acqui terme,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,112
acqui terme,ministero dell'istruzione e del merito,35,44,35-44,1,conto corrente/carta conto,27
acqui terme,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,134
acqui terme,ministero dell'istruzione e del merito,45,54,45-54,1,conto corrente/carta conto,22
acqui terme,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,178
acqui terme,ministero dell'istruzione e del merito,55,64,55-64,1,conto corrente/carta conto,42
acqui terme,ministero dell'istruzione e del merito,65, ,65- ,0,conto corrente/carta conto,15
acri,ministero dell'istruzione e del merito,25,34,25-34,1,conto corrente/carta conto,6
acri,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,41
acri,ministero dell'istruzione e del merito,35,44,35-44,1,conto corrente/carta conto,20
acri,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,132
acri,ministero dell'istruzione e del merito,45,54,45-54,1,conto corrente/carta conto,44
acri,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,167
acri,ministero dell'istruzione e del merito,55,64,55-64,1,conto corrente/carta conto,80
acri,ministero dell'istruzione e del merito,65, ,65- ,0,conto corrente/carta conto,27
acri,ministero dell'istruzione e del merito,65, ,65- ,1,conto corrente/carta conto,32
adelfia,ministero dell'istruzione e del merito,25,34,25-34,0,conto corrente/carta conto,10
adelfia,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,37
adelfia,ministero dell'istruzione e del merito,35,44,35-44,1,conto corrente/carta conto,8
adelfia,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,84
adelfia,ministero dell'istruzione e del merito,45,54,45-54,1,conto corrente/carta conto,8
adelfia,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,79
adelfia,ministero dell'istruzione e del merito,55,64,55-64,1,conto corrente/carta conto,6
adrano,ministero dell'istruzione e del merito,25,34,25-34,0,conto corrente/carta conto,36
adrano,ministero dell'istruzione e del merito,25,34,25-34,1,conto corrente/carta conto,13
adrano,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,98
adrano,ministero dell'istruzione e del merito,35,44,35-44,1,conto corrente/carta conto,39
adrano,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,251
adrano,ministero dell'istruzione e del merito,45,54,45-54,1,conto corrente/carta conto,49
adrano,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,248
adrano,ministero dell'istruzione e del merito,55,64,55-64,0,libretto postale,6
adrano,ministero dell'istruzione e del merito,55,64,55-64,1,conto corrente/carta conto,79
adrano,ministero dell'istruzione e del merito,65, ,65- ,0,conto corrente/carta conto,51
adrano,ministero dell'istruzione e del merito,65, ,65- ,1,conto corrente/carta conto,13
adria,ministero dell'istruzione e del merito,25,34,25-34,0,conto corrente/carta conto,62
adria,ministero dell'istruzione e del merito,25,34,25-34,1,conto corrente/carta conto,29
adria,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,107
adria,ministero dell'istruzione e del merito,35,44,35-44,1,conto corrente/carta conto,34
adria,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,176
adria,ministero dell'istruzione e del merito,45,54,45-54,1,conto corrente/carta conto,51
adria,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,220
adria,ministero dell'istruzione e del merito,55,64,55-64,1,conto corrente/carta conto,77
adria,ministero dell'istruzione e del merito,65, ,65- ,0,conto corrente/carta conto,13
adria,ministero universita' e ricerca,25,34,25-34,1,conto corrente/carta conto,7
adria,ministero universita' e ricerca,35,44,35-44,0,conto corrente/carta conto,11
adria,ministero universita' e ricerca,45,54,45-54,0,conto corrente/carta conto,10
adria,ministero universita' e ricerca,45,54,45-54,1,conto corrente/carta conto,9
adria,ministero universita' e ricerca,55,64,55-64,0,conto corrente/carta conto,12
adria,ministero universita' e ricerca,55,64,55-64,1,conto corrente/carta conto,17
adro,ministero dell'istruzione e del merito,25,34,25-34,0,conto corrente/carta conto,17
adro,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,25
adro,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,22
adro,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,23
afragola,ministero dell'istruzione e del merito,25,34,25-34,0,conto corrente/carta conto,98
afragola,ministero dell'istruzione e del merito,25,34,25-34,1,conto corrente/carta conto,31
afragola,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,261
afragola,ministero dell'istruzione e del merito,35,44,35-44,1,conto corrente/carta conto,84
afragola,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,447
afragola,ministero dell'istruzione e del merito,45,54,45-54,0,libretto postale,9
afragola,ministero dell'istruzione e del merito,45,54,45-54,1,conto corrente/carta conto,103
afragola,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,500
afragola,ministero dell'istruzione e del merito,55,64,55-64,0,libretto postale,11
afragola,ministero dell'istruzione e del merito,55,64,55-64,1,conto corrente/carta conto,187
afragola,ministero dell'istruzione e del merito,65, ,65- ,0,conto corrente/carta conto,75
afragola,ministero dell'istruzione e del merito,65, ,65- ,1,conto corrente/carta conto,36
afragola,ministero delle infrastrutture e dei trasporti,55,64,55-64,1,conto corrente/carta conto,6
agerola,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,12
agerola,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,37
agerola,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,45
agerola,ministero dell'istruzione e del merito,55,64,55-64,0,libretto postale,6
aggius,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,7
aggius,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,36
aggius,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,24
agira,ministero dell'istruzione e del merito,25,34,25-34,0,conto corrente/carta conto,18
agira,ministero dell'istruzione e del merito,25,34,25-34,1,conto corrente/carta conto,7
agira,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,44
agira,ministero dell'istruzione e del merito,35,44,35-44,1,conto corrente/carta conto,10
agira,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,74
agira,ministero dell'istruzione e del merito,45,54,45-54,1,conto corrente/carta conto,22
agira,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,99
agira,ministero dell'istruzione e del merito,55,64,55-64,1,conto corrente/carta conto,50
agira,ministero dell'istruzione e del merito,65, ,65- ,0,conto corrente/carta conto,6
agira,ministero dell'istruzione e del merito,65, ,65- ,1,conto corrente/carta conto,6
agliana,ministero dell'istruzione e del merito,18,24,18-24,0,conto corrente/carta conto,8
agliana,ministero dell'istruzione e del merito,25,34,25-34,0,conto corrente/carta conto,61
agliana,ministero dell'istruzione e del merito,25,34,25-34,1,conto corrente/carta conto,17
agliana,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,71
agliana,ministero dell'istruzione e del merito,35,44,35-44,1,conto corrente/carta conto,16
agliana,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,102
agliana,ministero dell'istruzione e del merito,45,54,45-54,1,conto corrente/carta conto,7
agliana,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,102
agliana,ministero dell'istruzione e del merito,55,64,55-64,1,conto corrente/carta conto,15
agliana,ministero dell'istruzione e del merito,65, ,65- ,0,conto corrente/carta conto,6
agnone,ministero dell'istruzione e del merito,25,34,25-34,0,conto corrente/carta conto,14
agnone,ministero dell'istruzione e del merito,25,34,25-34,1,conto corrente/carta conto,6
agnone,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,29
agnone,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,33
agnone,ministero dell'istruzione e del merito,45,54,45-54,1,conto corrente/carta conto,9
agnone,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,50
agnone,ministero dell'istruzione e del merito,55,64,55-64,0,libretto postale,6
agordo,ministero dell'istruzione e del merito,25,34,25-34,0,conto corrente/carta conto,23
agordo,ministero dell'istruzione e del merito,25,34,25-34,1,conto corrente/carta conto,37
agordo,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,32
agordo,ministero dell'istruzione e del merito,35,44,35-44,1,conto corrente/carta conto,20
agordo,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,48
agordo,ministero dell'istruzione e del merito,45,54,45-54,1,conto corrente/carta conto,18
agordo,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,72
agordo,ministero dell'istruzione e del merito,55,64,55-64,1,conto corrente/carta conto,29
agrate brianza,ministero dell'istruzione e del merito,25,34,25-34,0,conto corrente/carta conto,27
agrate brianza,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,36
agrate brianza,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,54
agrate brianza,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,51
agrigento,agenzia delle dogane,55,64,55-64,1,conto corrente/carta conto,6
agrigento,agenzia delle entrate,35,44,35-44,0,conto corrente/carta conto,6
agrigento,agenzia delle entrate,35,44,35-44,1,conto corrente/carta conto,12
agrigento,agenzia delle entrate,45,54,45-54,0,conto corrente/carta conto,20
agrigento,agenzia delle entrate,45,54,45-54,1,conto corrente/carta conto,35
agrigento,agenzia delle entrate,55,64,55-64,0,conto corrente/carta conto,26
agrigento,agenzia delle entrate,55,64,55-64,1,conto corrente/carta conto,47
agrigento,agenzia delle entrate,65, ,65- ,1,conto corrente/carta conto,7
agrigento,ministero dell'economia e finanze,45,54,45-54,1,conto corrente/carta conto,11
agrigento,ministero dell'economia e finanze,55,64,55-64,0,conto corrente/carta conto,9
agrigento,ministero dell'economia e finanze,55,64,55-64,1,conto corrente/carta conto,21
agrigento,ministero dell'economia e finanze,65, ,65- ,1,conto corrente/carta conto,8
agrigento,ministero dell'interno,25,34,25-34,1,conto corrente/carta conto,76
agrigento,ministero dell'interno,35,44,35-44,0,conto corrente/carta conto,18
agrigento,ministero dell'interno,35,44,35-44,1,conto corrente/carta conto,281
agrigento,ministero dell'interno,45,54,45-54,0,conto corrente/carta conto,25
agrigento,ministero dell'interno,45,54,45-54,1,conto corrente/carta conto,313
agrigento,ministero dell'interno,55,64,55-64,0,conto corrente/carta conto,30
agrigento,ministero dell'interno,55,64,55-64,1,conto corrente/carta conto,206
agrigento,ministero dell'istruzione e del merito,25,34,25-34,0,conto corrente/carta conto,25
agrigento,ministero dell'istruzione e del merito,25,34,25-34,1,conto corrente/carta conto,26
agrigento,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,149
agrigento,ministero dell'istruzione e del merito,35,44,35-44,1,conto corrente/carta conto,45
agrigento,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,405
agrigento,ministero dell'istruzione e del merito,45,54,45-54,1,conto corrente/carta conto,162
agrigento,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,528
agrigento,ministero dell'istruzione e del merito,55,64,55-64,0,libretto postale,8
agrigento,ministero dell'istruzione e del merito,55,64,55-64,1,conto corrente/carta conto,288
agrigento,ministero dell'istruzione e del merito,65, ,65- ,0,conto corrente/carta conto,63
agrigento,ministero dell'istruzione e del merito,65, ,65- ,1,conto corrente/carta conto,41
agrigento,ministero della cultura,55,64,55-64,1,conto corrente/carta conto,8
agrigento,ministero della giustizia,25,34,25-34,0,conto corrente/carta conto,65
agrigento,ministero della giustizia,25,34,25-34,1,conto corrente/carta conto,22
agrigento,ministero della giustizia,35,44,35-44,0,conto corrente/carta conto,53
agrigento,ministero della giustizia,35,44,35-44,1,conto corrente/carta conto,39
agrigento,ministero della giustizia,45,54,45-54,0,conto corrente/carta conto,60
agrigento,ministero della giustizia,45,54,45-54,1,conto corrente/carta conto,99
agrigento,ministero della giustizia,55,64,55-64,0,conto corrente/carta conto,69
agrigento,ministero della giustizia,55,64,55-64,1,conto corrente/carta conto,113
agrigento,ministero della giustizia,65, ,65- ,0,conto corrente/carta conto,7
agrigento,ministero della giustizia,65, ,65- ,1,conto corrente/carta conto,14
agrigento,ministero delle infrastrutture e dei trasporti,55,64,55-64,1,conto corrente/carta conto,8
agropoli,ministero dell'istruzione e del merito,25,34,25-34,0,conto corrente/carta conto,15
agropoli,ministero dell'istruzione e del merito,25,34,25-34,1,conto corrente/carta conto,10
agropoli,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,62
agropoli,ministero dell'istruzione e del merito,35,44,35-44,1,conto corrente/carta conto,12
agropoli,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,159
agropoli,ministero dell'istruzione e del merito,45,54,45-54,1,conto corrente/carta conto,50
agropoli,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,275
agropoli,ministero dell'istruzione e del merito,55,64,55-64,0,libretto postale,19
agropoli,ministero dell'istruzione e del merito,55,64,55-64,1,conto corrente/carta conto,80
agropoli,ministero dell'istruzione e del merito,65, ,65- ,0,conto corrente/carta conto,30
agropoli,ministero dell'istruzione e del merito,65, ,65- ,0,libretto postale,9
agropoli,ministero dell'istruzione e del merito,65, ,65- ,1,conto corrente/carta conto,26
aiello del friuli,ministero dell'istruzione e del merito,25,34,25-34,0,conto corrente/carta conto,6
aiello del friuli,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,22
aiello del friuli,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,37
aiello del friuli,ministero dell'istruzione e del merito,45,54,45-54,1,conto corrente/carta conto,6
aiello del friuli,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,39
aiello del sabato,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,31
aiello del sabato,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,63
aiello del sabato,ministero dell'istruzione e del merito,45,54,45-54,1,conto corrente/carta conto,6
aiello del sabato,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,64
aiello del sabato,ministero dell'istruzione e del merito,55,64,55-64,0,libretto postale,13
aiello del sabato,ministero dell'istruzione e del merito,55,64,55-64,1,conto corrente/carta conto,8
aiello del sabato,ministero dell'istruzione e del merito,65, ,65- ,0,conto corrente/carta conto,6
airasca,ministero dell'istruzione e del merito,25,34,25-34,0,conto corrente/carta conto,15
airasca,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,23
airasca,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,20
airasca,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,33
airola,ministero dell'istruzione e del merito,25,34,25-34,0,conto corrente/carta conto,12
airola,ministero dell'istruzione e del merito,25,34,25-34,1,conto corrente/carta conto,7
airola,ministero dell'istruzione e del merito,35,44,35-44,0,conto corrente/carta conto,38
airola,ministero dell'istruzione e del merito,35,44,35-44,1,conto corrente/carta conto,8
airola,ministero dell'istruzione e del merito,45,54,45-54,0,conto corrente/carta conto,84
airola,ministero dell'istruzione e del merito,45,54,45-54,1,conto corrente/carta conto,24
airola,ministero dell'istruzione e del merito,55,64,55-64,0,conto corrente/carta conto,100
airola,ministero dell'istruzione e del merito,55,64,55-64,0,libretto postale,7
airola,ministero dell'istruzione e del merito,55,64,55-64,1,conto corrente/carta conto,36
airola,ministero dell'istruzione e del merito,65, ,65- ,0,conto corrente/carta conto,7
